,book_id,RGB1,HSV1,RGB2,HSV2,RGB3,HSV3
1021,8462092,"(167, 85, 55)","(8, 171, 167)","(98, 46, 26)","(8, 187, 98)","(218, 137, 99)","(10, 139, 218)"
1022,7247463,"(76, 55, 35)","(15, 138, 76)","(239, 234, 202)","(26, 39, 239)","(180, 153, 104)","(19, 108, 180)"
1023,231914,"(32, 116, 175)","(102, 208, 175)","(79, 62, 81)","(147, 60, 81)","(163, 175, 190)","(107, 36, 190)"
1024,22718664,"(15, 94, 58)","(76, 214, 94)","(118, 130, 78)","(37, 102, 130)","(235, 241, 225)","(41, 17, 241)"
1025,32841045,"(120, 122, 117)","(42, 10, 122)","(29, 55, 68)","(100, 146, 68)","(245, 246, 246)","(90, 1, 246)"
1026,23093357,"(27, 32, 39)","(108, 78, 39)","(208, 191, 153)","(21, 67, 208)","(122, 95, 92)","(3, 63, 122)"
1027,14080417,"(239, 206, 87)","(23, 162, 239)","(167, 76, 50)","(7, 179, 167)","(23, 20, 26)","(135, 59, 26)"
1028,28109913,"(244, 240, 238)","(10, 6, 244)","(46, 67, 81)","(102, 110, 81)","(194, 143, 126)","(7, 89, 194)"
1029,107033,"(73, 89, 66)","(51, 66, 89)","(18, 21, 12)","(40, 109, 21)","(169, 176, 127)","(34, 71, 176)"
1030,11426110,"(120, 108, 74)","(22, 98, 120)","(71, 57, 36)","(18, 126, 71)","(186, 176, 136)","(24, 69, 186)"
1031,16075916,"(247, 244, 241)","(15, 6, 247)","(183, 63, 47)","(4, 190, 183)","(201, 178, 174)","(4, 34, 201)"
1032,9673504,"(166, 84, 90)","(178, 126, 166)","(211, 199, 154)","(24, 69, 211)","(46, 43, 43)","(0, 17, 46)"
1033,14498,"(67, 38, 38)","(0, 110, 67)","(138, 132, 122)","(19, 30, 138)","(238, 236, 234)","(15, 4, 238)"
1034,60411,"(68, 51, 51)","(0, 64, 68)","(142, 125, 142)","(150, 31, 142)","(214, 201, 193)","(11, 25, 214)"
1035,25241769,"(117, 104, 117)","(150, 28, 117)","(191, 175, 181)","(169, 21, 191)","(34, 31, 40)","(130, 57, 40)"
1036,23965437,"(41, 23, 18)","(7, 143, 41)","(137, 61, 45)","(5, 171, 137)","(219, 193, 156)","(18, 73, 219)"
1037,23332875,"(55, 33, 36)","(176, 102, 55)","(130, 106, 100)","(6, 59, 130)","(208, 200, 192)","(15, 20, 208)"
1038,2626490,"(90, 57, 48)","(6, 119, 90)","(147, 98, 79)","(8, 118, 147)","(116, 132, 160)","(109, 70, 160)"
1039,188181,"(26, 24, 18)","(23, 78, 26)","(130, 112, 80)","(19, 98, 130)","(214, 216, 203)","(35, 15, 216)"
1040,30333227,"(53, 53, 40)","(30, 63, 53)","(111, 105, 84)","(23, 62, 111)","(196, 194, 180)","(26, 21, 196)"
1041,31171072,"(174, 148, 104)","(19, 103, 174)","(80, 110, 90)","(70, 70, 110)","(69, 41, 30)","(8, 144, 69)"
1042,553678,"(231, 213, 207)","(8, 26, 231)","(164, 142, 139)","(4, 39, 164)","(85, 67, 53)","(13, 96, 85)"
1043,29844757,"(22, 17, 20)","(162, 58, 22)","(127, 120, 129)","(143, 18, 129)","(225, 219, 225)","(150, 7, 225)"
1044,13022038,"(103, 119, 128)","(101, 50, 128)","(42, 41, 44)","(130, 17, 44)","(208, 213, 211)","(78, 6, 213)"
1045,12833770,"(77, 115, 119)","(93, 90, 119)","(27, 51, 54)","(93, 127, 54)","(135, 183, 202)","(99, 85, 202)"
1046,13532176,"(20, 16, 15)","(6, 64, 20)","(225, 148, 83)","(14, 161, 225)","(122, 72, 54)","(8, 142, 122)"
1047,107159,"(14, 11, 12)","(170, 55, 14)","(60, 55, 67)","(133, 46, 67)","(162, 154, 140)","(19, 35, 162)"
1048,25430821,"(139, 124, 129)","(170, 28, 139)","(210, 211, 211)","(90, 1, 211)","(53, 45, 47)","(173, 38, 53)"
1049,25066807,"(242, 241, 237)","(24, 5, 242)","(160, 142, 143)","(178, 29, 160)","(91, 68, 71)","(176, 64, 91)"
1050,15794740,"(92, 109, 111)","(93, 44, 111)","(37, 46, 43)","(80, 50, 46)","(164, 193, 165)","(61, 38, 193)"
1051,6419563,"(120, 143, 142)","(89, 41, 143)","(230, 221, 215)","(12, 17, 230)","(37, 47, 46)","(87, 54, 47)"
1052,23941148,"(235, 227, 205)","(22, 33, 235)","(51, 90, 120)","(103, 147, 120)","(194, 120, 95)","(8, 130, 194)"
1053,20625032,"(96, 83, 132)","(128, 95, 132)","(128, 161, 193)","(105, 86, 193)","(218, 202, 203)","(178, 19, 218)"
1054,34536949,"(251, 250, 250)","(0, 1, 251)","(155, 27, 32)","(179, 211, 155)","(155, 141, 141)","(0, 23, 155)"
1055,13571757,"(245, 239, 230)","(18, 16, 245)","(173, 162, 154)","(13, 28, 173)","(91, 82, 77)","(11, 39, 91)"
1056,1612832,"(47, 40, 40)","(0, 38, 47)","(145, 105, 78)","(12, 118, 145)","(231, 223, 174)","(26, 63, 231)"
1057,29606984,"(58, 24, 31)","(174, 149, 58)","(238, 205, 206)","(179, 35, 238)","(188, 126, 139)","(174, 84, 188)"
1058,32478494,"(219, 179, 182)","(178, 47, 219)","(113, 33, 55)","(172, 181, 113)","(86, 111, 156)","(109, 114, 156)"
1059,4788225,"(242, 236, 225)","(19, 18, 242)","(169, 145, 130)","(12, 59, 169)","(55, 53, 46)","(23, 42, 55)"
1060,13536803,"(229, 226, 225)","(8, 4, 229)","(153, 120, 117)","(2, 60, 153)","(45, 33, 42)","(158, 68, 45)"
1061,32333007,"(249, 239, 234)","(10, 15, 249)","(145, 62, 59)","(1, 151, 145)","(203, 153, 147)","(3, 70, 203)"
1062,24778945,"(2, 1, 1)","(0, 128, 2)","(185, 152, 166)","(167, 45, 185)","(84, 73, 74)","(177, 33, 84)"
1063,13594590,"(249, 249, 244)","(30, 5, 249)","(183, 161, 155)","(6, 39, 183)","(113, 44, 39)","(2, 167, 113)"
1064,9395668,"(7, 3, 10)","(137, 179, 10)","(175, 182, 199)","(111, 31, 199)","(76, 67, 84)","(136, 52, 84)"
1065,464437,"(70, 47, 38)","(8, 117, 70)","(154, 94, 83)","(5, 118, 154)","(237, 229, 214)","(20, 25, 237)"
1066,3918010,"(5, 5, 4)","(30, 51, 5)","(84, 77, 68)","(17, 49, 84)","(228, 223, 184)","(27, 49, 228)"
1067,13573235,"(238, 238, 237)","(30, 1, 238)","(167, 160, 132)","(24, 53, 167)","(132, 63, 51)","(4, 156, 132)"
1068,437093,"(68, 39, 74)","(145, 121, 74)","(212, 96, 72)","(5, 168, 212)","(190, 167, 190)","(150, 31, 190)"
1069,1087205,"(98, 59, 89)","(157, 101, 98)","(181, 155, 150)","(5, 44, 181)","(241, 230, 223)","(12, 19, 241)"
1070,11251704,"(215, 138, 125)","(4, 107, 215)","(242, 214, 202)","(9, 42, 242)","(125, 61, 91)","(166, 131, 125)"
1071,20575438,"(230, 224, 205)","(23, 28, 230)","(143, 142, 137)","(25, 11, 143)","(69, 67, 64)","(18, 18, 69)"
1072,16059656,"(26, 39, 68)","(111, 158, 68)","(141, 131, 127)","(9, 25, 141)","(84, 76, 81)","(161, 24, 84)"
1073,10361139,"(235, 232, 224)","(22, 12, 235)","(216, 176, 135)","(15, 96, 216)","(117, 101, 84)","(15, 72, 117)"
1074,12993867,"(118, 54, 46)","(3, 156, 118)","(157, 138, 122)","(14, 57, 157)","(230, 220, 204)","(18, 29, 230)"
1075,16136945,"(222, 218, 207)","(22, 17, 222)","(41, 28, 20)","(11, 131, 41)","(134, 120, 95)","(19, 74, 134)"
1076,13148698,"(41, 10, 57)","(140, 210, 57)","(79, 62, 91)","(138, 81, 91)","(149, 134, 160)","(137, 41, 160)"
1077,14475472,"(3, 4, 3)","(60, 64, 4)","(77, 80, 72)","(41, 26, 80)","(164, 170, 153)","(41, 26, 170)"
1078,905756,"(231, 241, 225)","(49, 17, 241)","(138, 185, 125)","(54, 83, 185)","(81, 81, 67)","(30, 44, 81)"
1079,10871925,"(13, 9, 6)","(13, 137, 13)","(80, 61, 47)","(13, 105, 80)","(211, 191, 72)","(26, 168, 211)"
1080,25893817,"(239, 235, 239)","(150, 4, 239)","(213, 136, 168)","(168, 92, 213)","(65, 65, 62)","(30, 12, 65)"
1081,18166872,"(36, 24, 17)","(11, 135, 36)","(192, 145, 107)","(13, 113, 192)","(111, 86, 69)","(12, 96, 111)"
1082,16002012,"(217, 203, 183)","(18, 40, 217)","(138, 120, 114)","(8, 44, 138)","(32, 27, 30)","(162, 40, 32)"
1083,18667307,"(226, 229, 232)","(105, 7, 232)","(43, 46, 46)","(90, 17, 46)","(133, 143, 145)","(95, 21, 145)"
1084,33163379,"(25, 25, 25)","(0, 0, 25)","(88, 88, 88)","(0, 0, 88)","(146, 146, 146)","(0, 0, 146)"
1085,23503834,"(56, 47, 34)","(18, 100, 56)","(143, 133, 119)","(18, 43, 143)","(223, 219, 207)","(23, 18, 223)"
1086,9501285,"(249, 210, 206)","(3, 44, 249)","(18, 62, 88)","(101, 203, 88)","(213, 137, 159)","(171, 91, 213)"
1087,10149910,"(13, 13, 12)","(30, 20, 13)","(247, 246, 241)","(25, 6, 247)","(150, 149, 143)","(26, 12, 150)"
1088,24039347,"(13, 12, 18)","(125, 85, 18)","(89, 77, 83)","(165, 34, 89)","(202, 193, 189)","(9, 16, 202)"
1089,16155151,"(59, 37, 55)","(155, 95, 59)","(251, 246, 247)","(174, 5, 251)","(193, 146, 164)","(169, 62, 193)"
1090,20405475,"(247, 243, 233)","(21, 14, 247)","(82, 79, 77)","(12, 16, 82)","(155, 155, 157)","(120, 3, 157)"
1091,568454,"(251, 250, 247)","(23, 4, 251)","(63, 76, 83)","(101, 61, 83)","(195, 160, 130)","(14, 85, 195)"
1092,13528747,"(28, 21, 20)","(4, 73, 28)","(131, 97, 74)","(12, 111, 131)","(224, 217, 210)","(15, 16, 224)"
1093,21433253,"(247, 237, 235)","(5, 12, 247)","(211, 181, 179)","(2, 39, 211)","(162, 118, 117)","(1, 71, 162)"
1094,227350,"(212, 190, 155)","(18, 69, 212)","(250, 247, 242)","(19, 8, 250)","(57, 28, 27)","(1, 134, 57)"
1095,346518,"(43, 55, 41)","(56, 65, 55)","(71, 111, 83)","(69, 92, 111)","(127, 175, 115)","(54, 87, 175)"
1096,17794133,"(175, 137, 102)","(14, 106, 175)","(81, 64, 52)","(12, 91, 81)","(233, 221, 207)","(16, 28, 233)"
1097,26031312,"(244, 230, 238)","(163, 15, 244)","(199, 143, 171)","(165, 72, 199)","(130, 108, 127)","(154, 43, 130)"
1098,6406109,"(237, 238, 237)","(60, 1, 238)","(181, 181, 139)","(30, 59, 181)","(113, 64, 121)","(146, 120, 121)"
1099,25191822,"(242, 234, 214)","(21, 30, 242)","(200, 163, 134)","(13, 84, 200)","(110, 92, 92)","(0, 42, 110)"
1100,16071860,"(248, 246, 247)","(165, 2, 248)","(228, 219, 206)","(18, 25, 228)","(196, 171, 162)","(8, 44, 196)"
1101,13330312,"(245, 247, 246)","(75, 2, 247)","(186, 199, 199)","(90, 17, 199)","(87, 106, 157)","(112, 114, 157)"
1102,25066808,"(240, 237, 232)","(19, 9, 240)","(169, 164, 165)","(174, 8, 169)","(75, 70, 82)","(133, 37, 82)"
1103,18478253,"(39, 31, 49)","(133, 94, 49)","(108, 76, 96)","(161, 76, 108)","(165, 148, 163)","(154, 26, 165)"
1104,25363212,"(196, 196, 196)","(0, 0, 196)","(73, 73, 73)","(0, 0, 73)","(129, 120, 120)","(0, 18, 129)"
1105,15798377,"(171, 167, 182)","(128, 21, 182)","(191, 95, 60)","(8, 175, 191)","(47, 39, 34)","(12, 71, 47)"
1106,18070208,"(248, 247, 248)","(150, 1, 248)","(165, 139, 182)","(138, 60, 182)","(26, 30, 30)","(90, 34, 30)"
1107,17456972,"(238, 240, 242)","(105, 4, 242)","(57, 80, 96)","(102, 104, 96)","(148, 160, 169)","(103, 32, 169)"
1108,13536515,"(243, 243, 241)","(30, 2, 243)","(86, 108, 69)","(47, 92, 108)","(184, 187, 180)","(43, 10, 187)"
1109,11930007,"(242, 242, 234)","(30, 8, 242)","(193, 183, 144)","(24, 65, 193)","(72, 160, 95)","(68, 140, 160)"
1110,12637556,"(247, 242, 230)","(21, 18, 247)","(238, 211, 130)","(23, 116, 238)","(99, 104, 141)","(116, 76, 141)"
1111,12872655,"(249, 223, 228)","(174, 27, 249)","(235, 156, 178)","(172, 86, 235)","(247, 223, 120)","(24, 131, 247)"
1112,13273985,"(119, 144, 154)","(99, 58, 154)","(11, 14, 25)","(114, 143, 25)","(230, 234, 236)","(100, 6, 236)"
1113,19126,"(38, 88, 135)","(105, 183, 135)","(152, 166, 132)","(42, 52, 166)","(206, 222, 219)","(84, 18, 222)"
1114,17882371,"(240, 225, 223)","(4, 18, 240)","(108, 56, 49)","(4, 139, 108)","(191, 148, 121)","(12, 93, 191)"
1115,23995508,"(94, 96, 113)","(117, 43, 113)","(146, 153, 165)","(109, 29, 165)","(229, 228, 229)","(150, 1, 229)"
1116,23995507,"(93, 80, 81)","(178, 36, 93)","(240, 232, 233)","(176, 9, 240)","(173, 159, 152)","(10, 31, 173)"
1117,20176447,"(48, 58, 38)","(45, 88, 58)","(133, 140, 77)","(33, 115, 140)","(217, 213, 171)","(27, 54, 217)"
1118,7326784,"(219, 194, 182)","(10, 43, 219)","(140, 124, 113)","(12, 49, 140)","(28, 28, 31)","(120, 25, 31)"
1119,13259308,"(116, 45, 26)","(6, 198, 116)","(164, 138, 124)","(11, 62, 164)","(226, 217, 194)","(22, 36, 226)"
1120,10416148,"(113, 39, 21)","(6, 208, 113)","(169, 127, 91)","(14, 118, 169)","(211, 206, 172)","(26, 47, 211)"
1121,26152411,"(153, 113, 103)","(6, 83, 153)","(51, 58, 67)","(107, 61, 67)","(210, 208, 205)","(18, 6, 210)"
1122,23241668,"(62, 83, 79)","(84, 65, 83)","(237, 235, 221)","(26, 17, 237)","(133, 136, 125)","(38, 21, 136)"
1123,6597080,"(124, 75, 76)","(179, 101, 124)","(27, 20, 22)","(171, 66, 27)","(228, 201, 187)","(10, 46, 228)"
1124,17194569,"(76, 52, 18)","(18, 195, 76)","(154, 137, 72)","(24, 136, 154)","(222, 224, 191)","(32, 38, 224)"
1125,15800523,"(250, 244, 233)","(19, 17, 250)","(211, 192, 144)","(21, 81, 211)","(121, 103, 101)","(3, 42, 121)"
1126,19336279,"(44, 39, 30)","(19, 81, 44)","(130, 116, 91)","(19, 76, 130)","(222, 215, 196)","(22, 30, 222)"
1127,18077957,"(244, 238, 235)","(10, 9, 244)","(88, 60, 58)","(2, 87, 88)","(178, 151, 147)","(4, 44, 178)"
1128,60113,"(241, 240, 239)","(15, 2, 241)","(202, 186, 92)","(26, 139, 202)","(64, 50, 63)","(152, 56, 64)"
1129,13505253,"(26, 110, 161)","(101, 214, 161)","(11, 12, 13)","(105, 39, 13)","(176, 213, 232)","(100, 62, 232)"
1130,21561020,"(46, 40, 36)","(12, 55, 46)","(135, 114, 107)","(8, 53, 135)","(236, 233, 230)","(15, 6, 236)"
1131,107032,"(3, 2, 2)","(0, 85, 3)","(72, 63, 75)","(143, 41, 75)","(170, 181, 195)","(107, 33, 195)"
1132,6406018,"(249, 247, 244)","(18, 5, 249)","(51, 35, 30)","(7, 105, 51)","(165, 134, 103)","(15, 96, 165)"
1133,21524955,"(132, 106, 83)","(14, 95, 132)","(50, 42, 37)","(12, 66, 50)","(210, 195, 151)","(22, 72, 210)"
1134,12506262,"(224, 176, 200)","(165, 55, 224)","(243, 227, 228)","(178, 17, 243)","(88, 105, 95)","(72, 41, 105)"
1135,26030381,"(23, 17, 18)","(175, 67, 23)","(104, 73, 71)","(2, 81, 104)","(189, 165, 153)","(10, 49, 189)"
1136,331208,"(245, 248, 245)","(60, 3, 248)","(141, 144, 139)","(48, 9, 144)","(44, 45, 48)","(113, 21, 48)"
1137,18513590,"(17, 17, 17)","(0, 0, 17)","(74, 83, 85)","(95, 33, 85)","(206, 203, 133)","(29, 90, 206)"
1138,28109909,"(219, 152, 170)","(172, 78, 219)","(135, 86, 120)","(159, 93, 135)","(41, 49, 65)","(110, 94, 65)"
1139,15739430,"(221, 220, 213)","(26, 9, 221)","(165, 156, 153)","(8, 19, 165)","(103, 97, 93)","(12, 25, 103)"
1140,13501,"(4, 5, 6)","(105, 85, 6)","(159, 171, 180)","(103, 30, 180)","(78, 86, 90)","(100, 34, 90)"
1141,10862724,"(14, 29, 33)","(96, 147, 33)","(21, 121, 146)","(96, 218, 146)","(142, 186, 193)","(94, 67, 193)"
1142,29467801,"(19, 11, 11)","(0, 107, 19)","(120, 58, 54)","(2, 140, 120)","(187, 157, 139)","(11, 65, 187)"
1143,26067589,"(46, 45, 47)","(135, 11, 47)","(127, 119, 118)","(3, 18, 127)","(243, 240, 237)","(15, 6, 243)"
1144,22545976,"(36, 78, 133)","(107, 186, 133)","(9, 23, 63)","(112, 219, 63)","(168, 163, 173)","(135, 15, 173)"
1145,7775819,"(226, 220, 194)","(24, 36, 226)","(202, 185, 102)","(25, 126, 202)","(62, 99, 109)","(96, 110, 109)"
1146,18077955,"(41, 41, 35)","(30, 37, 41)","(107, 103, 103)","(0, 10, 107)","(220, 219, 219)","(0, 1, 220)"
1147,17262714,"(34, 28, 46)","(130, 100, 46)","(99, 96, 98)","(160, 8, 99)","(215, 212, 215)","(150, 4, 215)"
1148,17450811,"(19, 18, 11)","(26, 107, 19)","(126, 114, 75)","(23, 103, 126)","(218, 212, 192)","(23, 30, 218)"
1149,6478558,"(251, 249, 244)","(21, 7, 251)","(203, 176, 136)","(18, 84, 203)","(80, 60, 87)","(142, 79, 87)"
1150,33216616,"(27, 27, 28)","(120, 9, 28)","(125, 75, 81)","(176, 102, 125)","(179, 191, 195)","(98, 21, 195)"
1151,13487788,"(117, 202, 193)","(87, 107, 202)","(108, 139, 134)","(85, 57, 139)","(229, 233, 223)","(42, 11, 233)"
1152,1103544,"(240, 202, 171)","(13, 73, 240)","(157, 46, 48)","(179, 180, 157)","(29, 6, 7)","(179, 202, 29)"
1153,6093019,"(246, 235, 221)","(17, 26, 246)","(188, 160, 134)","(14, 73, 188)","(157, 67, 44)","(6, 184, 157)"
1154,16102099,"(144, 141, 148)","(133, 12, 148)","(27, 25, 29)","(135, 35, 29)","(237, 234, 235)","(170, 3, 237)"
1155,13178306,"(242, 225, 217)","(10, 26, 242)","(116, 54, 118)","(149, 138, 118)","(176, 152, 165)","(164, 35, 176)"
1156,17450840,"(30, 32, 31)","(75, 16, 32)","(114, 112, 110)","(15, 9, 114)","(214, 215, 213)","(45, 2, 215)"
1157,26192732,"(230, 232, 232)","(90, 2, 232)","(180, 180, 181)","(120, 1, 181)","(111, 103, 103)","(0, 18, 111)"
1158,25387768,"(160, 145, 161)","(148, 25, 161)","(121, 101, 110)","(167, 42, 121)","(220, 208, 206)","(4, 16, 220)"
1159,25241952,"(82, 80, 55)","(28, 84, 82)","(137, 142, 129)","(42, 23, 142)","(225, 215, 196)","(20, 33, 225)"
1160,16160800,"(80, 148, 151)","(91, 120, 151)","(93, 117, 114)","(86, 52, 117)","(190, 214, 214)","(90, 29, 214)"
1161,18245960,"(47, 76, 107)","(106, 143, 107)","(94, 117, 137)","(104, 80, 137)","(170, 188, 172)","(63, 24, 188)"
1162,5577844,"(75, 62, 55)","(11, 68, 75)","(205, 208, 183)","(34, 31, 208)","(138, 142, 116)","(35, 47, 142)"
1163,17315048,"(225, 155, 79)","(16, 165, 225)","(202, 91, 45)","(9, 198, 202)","(129, 37, 34)","(1, 188, 129)"
1164,13453029,"(51, 58, 43)","(44, 66, 58)","(140, 136, 75)","(28, 118, 140)","(227, 226, 174)","(29, 60, 227)"
1165,13239822,"(237, 232, 40)","(29, 212, 237)","(47, 70, 26)","(46, 160, 70)","(114, 134, 48)","(37, 164, 134)"
1166,62291,"(27, 32, 55)","(115, 130, 55)","(133, 116, 112)","(6, 40, 133)","(221, 222, 226)","(114, 6, 226)"
1167,41804,"(227, 16, 26)","(179, 237, 227)","(16, 2, 2)","(0, 223, 16)","(118, 30, 28)","(1, 195, 118)"
1168,136251,"(237, 167, 88)","(16, 160, 237)","(78, 57, 45)","(11, 108, 78)","(179, 104, 73)","(9, 151, 179)"
1169,76620,"(160, 78, 65)","(4, 151, 160)","(216, 144, 84)","(14, 156, 216)","(249, 225, 109)","(25, 143, 249)"
1170,34497,"(138, 204, 187)","(82, 83, 204)","(196, 229, 233)","(93, 40, 233)","(110, 81, 87)","(174, 67, 110)"
1171,14497,"(124, 109, 91)","(16, 68, 124)","(161, 146, 125)","(17, 57, 161)","(30, 24, 24)","(0, 51, 30)"
1172,77566,"(202, 180, 166)","(12, 45, 202)","(41, 27, 18)","(12, 143, 41)","(124, 99, 70)","(16, 111, 124)"
1173,18122,"(134, 58, 27)","(9, 204, 134)","(172, 119, 90)","(11, 122, 172)","(239, 222, 210)","(12, 31, 239)"
1174,119322,"(21, 37, 75)","(111, 184, 75)","(89, 118, 130)","(99, 80, 130)","(154, 174, 172)","(87, 29, 174)"
1175,52357,"(7, 7, 6)","(30, 36, 7)","(117, 114, 108)","(20, 20, 117)","(203, 202, 200)","(20, 4, 203)"
1176,6,"(123, 92, 53)","(17, 145, 123)","(55, 34, 24)","(10, 144, 55)","(173, 137, 85)","(18, 130, 173)"
1177,2,"(8, 62, 99)","(102, 234, 99)","(12, 113, 169)","(101, 237, 169)","(65, 168, 214)","(99, 178, 214)"
1178,34947450,"(214, 217, 206)","(38, 13, 217)","(176, 172, 161)","(22, 22, 176)","(92, 85, 96)","(139, 29, 96)"
1179,32027348,"(176, 91, 80)","(3, 139, 176)","(94, 41, 28)","(6, 179, 94)","(231, 205, 196)","(8, 39, 231)"
1180,25476303,"(7, 3, 3)","(0, 146, 7)","(83, 53, 39)","(10, 135, 83)","(159, 118, 91)","(12, 109, 159)"
1181,23300367,"(222, 211, 202)","(14, 23, 222)","(159, 149, 144)","(10, 24, 159)","(75, 72, 72)","(0, 10, 75)"
1182,20530499,"(226, 218, 203)","(20, 26, 226)","(190, 174, 156)","(16, 46, 190)","(145, 111, 96)","(9, 86, 145)"
1183,18965316,"(18, 21, 23)","(102, 55, 23)","(80, 85, 84)","(84, 15, 85)","(212, 190, 163)","(17, 59, 212)"
1184,18102827,"(33, 28, 28)","(0, 39, 33)","(206, 180, 160)","(13, 57, 206)","(118, 88, 108)","(160, 65, 118)"
1185,16159713,"(23, 26, 35)","(113, 87, 35)","(119, 111, 112)","(176, 17, 119)","(213, 206, 205)","(4, 10, 213)"
1186,17608224,"(23, 58, 165)","(113, 219, 165)","(73, 126, 214)","(109, 168, 214)","(209, 217, 232)","(110, 25, 232)"
1187,17346804,"(15, 138, 190)","(99, 235, 190)","(27, 66, 114)","(107, 195, 114)","(124, 193, 222)","(99, 113, 222)"
1188,12390650,"(101, 116, 137)","(107, 67, 137)","(165, 180, 193)","(104, 37, 193)","(19, 42, 51)","(98, 160, 51)"
1189,22875435,"(30, 30, 52)","(120, 108, 52)","(232, 233, 239)","(116, 7, 239)","(125, 125, 141)","(120, 29, 141)"
1190,17984141,"(20, 30, 37)","(102, 117, 37)","(63, 89, 101)","(99, 96, 101)","(153, 162, 161)","(87, 14, 162)"
1191,18705209,"(54, 28, 34)","(173, 123, 54)","(107, 91, 91)","(0, 38, 107)","(166, 177, 189)","(106, 31, 189)"
1192,17347389,"(249, 249, 249)","(0, 0, 249)","(32, 35, 52)","(116, 98, 52)","(163, 157, 177)","(129, 29, 177)"
1193,10025305,"(35, 42, 43)","(94, 47, 43)","(83, 93, 90)","(81, 27, 93)","(166, 172, 168)","(70, 9, 172)"
1194,6131164,"(54, 31, 30)","(1, 113, 54)","(121, 97, 89)","(8, 67, 121)","(191, 174, 163)","(12, 37, 191)"
1195,7171637,"(34, 29, 29)","(0, 38, 34)","(92, 89, 87)","(12, 14, 92)","(155, 158, 160)","(102, 8, 160)"
1196,17061,"(3, 3, 3)","(0, 0, 3)","(59, 59, 59)","(0, 0, 59)","(143, 143, 143)","(0, 0, 143)"
1197,12127810,"(63, 34, 45)","(169, 117, 63)","(162, 103, 83)","(8, 124, 162)","(214, 203, 207)","(169, 13, 214)"
1198,12127750,"(67, 28, 41)","(170, 148, 67)","(166, 112, 106)","(3, 92, 166)","(234, 214, 194)","(15, 44, 234)"
1199,12411635,"(112, 63, 94)","(161, 112, 112)","(42, 17, 34)","(160, 152, 42)","(223, 214, 220)","(160, 10, 223)"
1200,13449693,"(244, 246, 247)","(100, 3, 247)","(36, 27, 30)","(170, 64, 36)","(146, 160, 170)","(103, 36, 170)"
1201,12716010,"(29, 39, 54)","(108, 118, 54)","(166, 176, 192)","(108, 35, 192)","(85, 98, 116)","(107, 68, 116)"
1202,9460487,"(64, 65, 63)","(45, 8, 65)","(115, 115, 114)","(30, 2, 115)","(176, 176, 175)","(30, 1, 176)"
1203,8490112,"(13, 15, 17)","(105, 60, 17)","(65, 115, 139)","(100, 136, 139)","(218, 230, 234)","(98, 17, 234)"
1204,3,"(150, 114, 102)","(8, 82, 150)","(77, 67, 75)","(156, 33, 77)","(209, 172, 116)","(18, 113, 209)"
1205,41865,"(4, 2, 2)","(0, 128, 4)","(232, 228, 221)","(19, 12, 232)","(142, 73, 78)","(178, 124, 142)"
1206,13618440,"(30, 28, 23)","(21, 60, 30)","(136, 130, 64)","(28, 135, 136)","(230, 230, 223)","(30, 8, 230)"
1207,24751478,"(45, 57, 53)","(80, 54, 57)","(136, 132, 104)","(26, 60, 136)","(225, 225, 215)","(30, 11, 225)"
1208,12507214,"(63, 31, 30)","(1, 134, 63)","(170, 131, 130)","(1, 60, 170)","(192, 32, 27)","(1, 219, 192)"
1209,24120519,"(95, 92, 88)","(17, 19, 95)","(30, 31, 31)","(90, 8, 31)","(158, 158, 158)","(0, 0, 158)"
1210,18007564,"(224, 149, 74)","(15, 171, 224)","(188, 72, 41)","(6, 199, 188)","(78, 24, 23)","(1, 180, 78)"
1211,23349901,"(62, 52, 54)","(174, 41, 62)","(215, 190, 158)","(17, 68, 215)","(163, 113, 79)","(12, 131, 163)"
1212,22428828,"(127, 93, 67)","(13, 120, 127)","(195, 178, 152)","(18, 56, 195)","(42, 24, 14)","(11, 170, 42)"
1213,12812550,"(33, 23, 23)","(0, 77, 33)","(134, 110, 111)","(179, 46, 134)","(233, 232, 232)","(0, 1, 233)"
1214,438353,"(91, 78, 48)","(21, 120, 91)","(37, 24, 17)","(11, 138, 37)","(169, 163, 117)","(27, 78, 169)"
1215,18666047,"(4, 2, 5)","(140, 153, 5)","(72, 65, 75)","(141, 34, 75)","(160, 161, 173)","(118, 19, 173)"
1216,13616278,"(212, 211, 198)","(28, 17, 212)","(150, 147, 134)","(24, 27, 150)","(61, 42, 34)","(9, 113, 61)"
1217,15839984,"(32, 17, 17)","(0, 120, 32)","(129, 27, 30)","(179, 202, 129)","(163, 150, 148)","(4, 23, 163)"
1218,12396528,"(36, 35, 35)","(0, 7, 36)","(106, 104, 105)","(165, 5, 106)","(188, 187, 186)","(15, 3, 188)"
1219,16793,"(235, 238, 226)","(38, 13, 238)","(169, 169, 146)","(30, 35, 169)","(33, 115, 139)","(97, 194, 139)"
1220,18248613,"(114, 82, 65)","(10, 110, 114)","(29, 20, 14)","(12, 132, 29)","(191, 164, 145)","(12, 61, 191)"
1221,13638125,"(161, 72, 42)","(8, 188, 161)","(60, 22, 11)","(7, 208, 60)","(200, 166, 123)","(17, 98, 200)"
1222,15783514,"(8, 18, 41)","(111, 205, 41)","(34, 121, 144)","(96, 195, 144)","(162, 199, 211)","(97, 59, 211)"
